220929, 수실류, 대추, 대추, 1, 0, 325.0
220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 333.33334
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 533.3333
220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 633.3333
220929, 과일과채류, 수박, 수박, 1, 0, 96.15385
220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 버섯류, 팽이버섯, 팽이1호, 1, 0, 250.0
220929, 과채류, 호박, 쥬키니호박, 1, 0, 165.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 745.0
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 30.0
220929, 서류, 고구마, 기타, 1, 0, 262.0
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 333.33334
220929, 수실류, 대추, 기타대추, 1, 0, 1000.0
220929, 과일과채류, 방울토마토, 방울토마토, 1, 0, 560.0
220929, 엽경채류, 깻잎, 깻잎순, 1, 0, 145.0
220929, 조미채소류, 풋고추, 모닝, 1, 0, 31.578947
220929, 수실류, 대추, 기타대추, 1, 0, 650.0
220929, 과실류, 자두, 추희, 1, 0, 600.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220929, 엽경채류, 배추, 고냉지배추, 1, 0, 210.0
220929, 엽경채류, 쑥갓, 쑥갓, 1, 0, 150.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 660.0
220929, 과실류, 단감, 송본, 1, 0, 180.0
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 433.33334
220929, 엽경채류, 아욱, 아욱, 1, 0, 200.0
220929, 농림가공, 곡물제조, 두부, 1, 0, 2.5
220929, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 240.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 660.0
220929, 수실류, 떫은감, 기타, 1, 0, 160.0
220929, 양채류, 적채, 적채, 1, 0, 202.5
220929, 서류, 감자, 수미, 1, 0, 35.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1550.0
220929, 조미채소류, 대파, 대파, 1, 0, 18.555555
220929, 과실류, 감귤, 하우스감귤, 1, 0, 466.66666
220929, 과채류, 오이, 백다다기, 1, 0, 250.0
220929, 과실류, 단감, 송본, 1, 0, 200.0
220929, 양채류, 적채, 적채, 1, 0, 125.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 722.5
220929, 조미채소류, 쪽파, 쪽파, 1, 0, 380.0
220929, 엽경채류, 고수, 고수, 1, 0, 783.3333
220929, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 250.0
220929, 엽경채류, 상추, 적상추, 1, 0, 337.5
220929, 과채류, 호박, 풋호박, 1, 0, 147.5
220929, 과채류, 호박, 애호박, 1, 0, 200.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1500.0
220929, 과일과채류, 방울토마토, 대추방울, 1, 0, 600.0
220929, 엽경채류, 깻잎, 깻잎, 1, 0, 1000.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 440.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220929, 과채류, 오이, 백다다기, 1, 0, 370.0
220929, 서류, 감자, 수미, 1, 0, 219.0
220929, 엽경채류, 양배추, 양배추, 1, 0, 68.0
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 450.0
220929, 양채류, 양상추, 샤니레타스, 1, 0, 166.66667
220929, 과채류, 오이, 백다다기, 1, 0, 416.0
220929, 두류, 콩, 콩, 1, 0, 582.5
220929, 엽경채류, 부추, 일반부추, 1, 0, 380.0
220929, 과실류, 복숭아, 장호원황도, 1, 0, 200.0
220929, 엽경채류, 열무, 열무, 1, 0, 50.0
220929, 과실류, 포도, 마스캇베리에이, 1, 0, 333.33334
220929, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220929, 과실류, 단감, 송본, 1, 0, 370.0
220929, 수실류, 대추, 기타대추, 1, 0, 800.0
220929, 과일과채류, 방울토마토, 방울토마토, 1, 0, 980.0
220929, 조미채소류, 풋고추, 애기초, 1, 0, 700.0
