220928, 엽경채류, 깻잎, 기타깻잎, 1, 0, 390.0
220928, 과실류, 포도, 포도, 0, 0, 333.33334
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 470.0
220928, 엽경채류, 쑥갓, 쑥갓, 1, 0, 180.0
220928, 산채류, 참나물, 참나물, 1, 0, 340.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 100.0
220928, 엽경채류, 열무, 열무, 1, 0, 160.0
220928, 과실류, 떫은감, 약시, 1, 0, 280.0
220928, 수실류, 떫은감, 반시, 1, 0, 200.0
220928, 수실류, 떫은감, 약시, 1, 0, 140.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 580.0
220928, 과실류, 단감, 송본, 1, 0, 400.0
220928, 수실류, 떫은감, 약시, 1, 0, 180.0
220928, 과실류, 사과, 홍로, 1, 0, 180.0
220928, 과실류, 떫은감, 약시, 1, 0, 340.0
220928, 과일과채류, 메론, 파파야계, 1, 0, 357.14285
220928, 과실류, 사과, 히로사끼, 1, 0, 95.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 283.33334
220928, 과실류, 파인애플, 파인애플, 0, 0, 283.33334
220928, 과실류, 포도, 샤인마스캇, 1, 0, 375.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 283.33334
220928, 서류, 고구마, 기타, 1, 0, 191.0
220928, 서류, 고구마, 호박고구마, 1, 0, 30.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 283.33334
220928, 과실류, 무화과, 무화과, 1, 0, 458.33334
220928, 서류, 감자, 기타감자, 1, 0, 100.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 283.33334
220928, 과실류, 포도, 캠벨얼리, 1, 0, 550.0
220928, 과실류, 사과, 홍로, 1, 0, 260.0
220928, 버섯류, 느타리버섯, 기타느타리버섯, 1, 0, 185.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 283.33334
220928, 과실류, 떫은감, 반시, 1, 0, 240.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 170.0
220928, 과실류, 배, 신고, 1, 0, 66.666664
220928, 과실류, 파인애플, 파인애플, 0, 0, 283.33334
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 275.0
220928, 과실류, 사과, 기타사과, 1, 0, 130.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 283.33334
220928, 엽경채류, 배추, 월동배추, 1, 0, 102.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 180.0
220928, 서류, 고구마, 밤고구마, 1, 0, 133.0
220928, 과채류, 오이, 취청, 1, 0, 446.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 283.33334
220928, 과실류, 사과, 야다까, 1, 0, 166.0
220928, 과실류, 단감, 부유, 1, 0, 210.0
220928, 과실류, 자두, 추희, 1, 0, 400.0
220928, 과실류, 파인애플, 파인애플, 0, 0, 283.33334
220928, 과실류, 떫은감, 연시, 1, 0, 340.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 665.0
220928, 과실류, 단감, 송본, 1, 0, 230.0
220928, 과실류, 사과, 기타사과, 1, 0, 150.0
220928, 과실류, 단감, 상서, 1, 0, 72.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 475.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 240.0
220928, 과실류, 사과, 홍로, 1, 0, 250.0
220928, 과실류, 복숭아, 황도, 1, 0, 362.5
220928, 과실류, 포도, 샤인마스캇, 1, 0, 465.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 430.0
220928, 과실류, 사과, 기타사과, 1, 0, 140.0
220928, 엽경채류, 토란대, 토란대, 1, 0, 75.0
220928, 과실류, 사과, 기타사과, 1, 0, 150.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220928, 과채류, 오이, 취청, 1, 0, 490.0
220928, 서류, 감자, 수미, 1, 0, 65.0
220928, 과실류, 바나나, 기타바나나, 1, 0, 248.1203
220928, 과실류, 사과, 야다까, 1, 0, 186.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 100.0
220928, 과실류, 바나나, 기타바나나, 1, 0, 248.1203
220928, 엽경채류, 고구마순, 생고구마순, 1, 0, 187.5
220928, 엽경채류, 열무, 열무, 1, 0, 160.0
220928, 양채류, 적채, 적채, 1, 0, 128.75
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 500.0
220928, 서류, 고구마, 호박고구마, 1, 0, 60.0
220928, 과실류, 복숭아, 황도, 1, 0, 145.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 337.5
220928, 엽경채류, 상추, 적상추, 1, 0, 300.0
220928, 엽경채류, 배추, 기타배추, 1, 0, 126.0
220928, 서류, 감자, 기타감자, 1, 0, 60.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 352.5
220928, 엽경채류, 시금치, 시금치, 1, 0, 733.3333
220928, 서류, 고구마, 밤고구마, 1, 0, 140.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 233.0
220928, 엽경채류, 얼갈이배추, 알배기, 1, 0, 122.0
220928, 서류, 고구마, 밤고구마, 1, 0, 56.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 250.0
220928, 과실류, 배, 신고, 1, 0, 93.333336
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 60.0
220928, 과채류, 오이, 백다다기, 1, 0, 412.5
220928, 과실류, 감귤, 하우스감귤, 1, 0, 300.0
220928, 버섯류, 양송이, 양송이, 1, 0, 1965.0
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 350.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 533.3333
220928, 엽경채류, 배추, 기타배추, 1, 0, 191.66667
220928, 엽경채류, 근대, 근대, 1, 0, 162.5
220928, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220928, 엽경채류, 깻잎, 기타깻잎, 1, 0, 332.5
220928, 양채류, 브로코리(녹색꽃양배추), 브로코리, 1, 0, 212.5
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 427.5
220928, 엽경채류, 상추, 기타상추, 1, 0, 150.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 416.66666
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 과일과채류, 메론, 네트계, 1, 0, 312.5
220928, 조미채소류, 대파, 대파, 1, 0, 145.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 300.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 815.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 463.33334
220928, 과실류, 단감, 차랑, 1, 0, 85.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
220928, 조미채소류, 풋고추, 청양, 1, 0, 335.77982
220928, 과실류, 복숭아, 황도, 1, 0, 170.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 100.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 452.0
220928, 조미채소류, 풋고추, 모닝, 1, 0, 368.42105
220928, 과실류, 포도, 샤인마스캇, 1, 0, 330.0
220928, 과실류, 복숭아, 장호원황도, 1, 0, 175.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 100.0
220928, 서류, 고구마, 기타, 1, 0, 132.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220928, 과실류, 배, 신고, 1, 0, 120.0
220928, 과채류, 호박, 늙은호박, 1, 0, 100.0
220928, 수실류, 대추, 대추, 1, 0, 800.0
220928, 수실류, 대추, 대추, 1, 0, 650.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 240.0
220928, 서류, 고구마, 밤고구마, 1, 0, 130.0
220928, 과실류, 복숭아, 황도, 1, 0, 275.0
220928, 과실류, 단감, 송본, 1, 0, 200.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 450.0
220928, 서류, 감자, 수미, 1, 0, 40.0
220928, 근채류, 연근, 기타연근, 1, 0, 240.0
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 300.0
220928, 양채류, 케일, 쌈케일, 1, 0, 375.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 100.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 240.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 엽경채류, 배추, 고냉지배추, 1, 0, 68.5
220928, 조미채소류, 풋고추, 기타풋고추, 1, 0, 280.0
220928, 조미채소류, 생강, 생강, 1, 0, 520.0
220928, 과실류, 단감, 송본, 1, 0, 320.0
220928, 과채류, 호박, 애호박, 1, 0, 177.5
220928, 수실류, 대추, 대추, 1, 0, 850.0
220928, 엽경채류, 청경채, 청경채, 1, 0, 152.5
220928, 조미채소류, 대파, 대파, 1, 0, 185.0
220928, 과채류, 호박, 늙은호박, 1, 0, 25.0
220928, 수실류, 떫은감, 약시, 1, 0, 180.0
220928, 과실류, 떫은감, 약시, 1, 0, 300.0
220928, 과실류, 떫은감, 약시, 1, 0, 440.0
220928, 과일과채류, 참외, 기타참외, 1, 0, 130.0
220928, 수실류, 대추, 기타대추, 1, 0, 580.0
220928, 과실류, 떫은감, 약시, 1, 0, 300.0
220928, 수실류, 떫은감, 약시, 1, 0, 160.0
220928, 수실류, 떫은감, 반시, 1, 0, 290.0
220928, 과실류, 단감, 부유, 1, 0, 141.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 166.66667
220928, 과실류, 파인애플, 파인애플, 0, 0, 283.33334
220928, 과실류, 사과, 시나노스위트, 1, 0, 165.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 490.0
220928, 과실류, 사과, 기타사과, 1, 0, 440.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 341.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 330.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 205.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 480.0
