220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 786.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 904.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 350.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 192.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 500.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 486.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 192.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 395.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 540.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 88.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 366.66666
220928, 조미채소류, 풋고추, 기타풋고추, 1, 0, 143.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 140.0
220928, 과채류, 호박, 애호박, 1, 0, 146.66667
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 150.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 266.66666
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 520.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 250.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 470.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 330.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 695.0
220928, 엽경채류, 부추, 일반부추, 1, 0, 180.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 390.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 625.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 425.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 325.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 450.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 380.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 130.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 600.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 295.08197
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 325.0
220928, 조미채소류, 풋고추, 기타풋고추, 1, 0, 320.0
220928, 과채류, 호박, 애호박, 1, 0, 226.66667
220928, 과채류, 호박, 쥬키니호박, 1, 0, 150.0
