220929, 엽경채류, 쌈추, 쌈추, 1, 0, 264.0
220929, 과실류, 포도, 거봉, 1, 0, 500.0
220929, 조미채소류, 풋고추, 롱그린, 1, 0, 500.0
220929, 서류, 고구마, 기타, 1, 0, 141.0
220929, 엽경채류, 배추, 고냉지배추, 1, 0, 230.0
220929, 양채류, 치커리, 치커리, 1, 0, 395.5
220929, 엽경채류, 쑥갓, 쑥갓, 1, 0, 225.0
220929, 과실류, 자두, 추희, 1, 0, 560.0
220929, 엽경채류, 열무, 열무, 1, 0, 56.5
220929, 과실류, 단감, 기타단감, 1, 0, 140.0
220929, 농림가공, 곡물제조, 순두부, 1, 0, 91.25
220929, 엽경채류, 상추, 적상추, 1, 0, 207.5
220929, 엽경채류, 청경채, 청경채, 1, 0, 184.75
220929, 엽경채류, 상추, 청상추, 1, 0, 357.5
220929, 과채류, 가지, 축양, 1, 0, 237.5
220929, 과실류, 복숭아, 만생황도, 1, 0, 100.0
220929, 서류, 고구마, 붉은고구마, 1, 0, 127.0
220929, 엽경채류, 배추, 기타배추, 1, 0, 422.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220929, 엽경채류, 상추, 청상추, 1, 0, 357.5
220929, 서류, 고구마, 호박고구마, 1, 0, 70.0
220929, 엽경채류, 근대, 근대, 1, 0, 184.75
220929, 과채류, 오이, 가시오이, 1, 0, 250.0
220929, 과실류, 포도, 캠벨얼리, 1, 0, 333.33334
220929, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 925.0
220929, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 145.0
220929, 조미채소류, 풋고추, 청양, 1, 0, 236.69725
220929, 과실류, 단감, 서촌, 1, 0, 100.0
220929, 양채류, 파프리카, 노랑파프리카, 1, 0, 660.0
220929, 엽경채류, 열무, 열무, 1, 0, 77.5
220929, 과실류, 포도, 캠벨얼리, 1, 0, 500.0
220929, 수실류, 대추, 기타대추, 1, 0, 1000.0
220929, 수실류, 대추, 대추, 1, 0, 800.0
220929, 농림가공, 곡물제조, 순두부, 0, 0, 87.5
220929, 수실류, 대추, 기타대추, 1, 0, 750.0
220929, 양채류, 비트(붉은사탕무우), 비트, 1, 0, 100.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 240.0
220929, 농림가공, 곡물제조, 두부, 0, 0, 160.0
220929, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220929, 과채류, 오이, 백다다기, 1, 0, 270.0
220929, 과일과채류, 토마토, 토마토, 1, 0, 120.0
220929, 농림가공, 곡물제조, 두부, 0, 0, 133.33333
220929, 과실류, 무화과, 무화과, 1, 0, 400.0
220929, 엽경채류, 상추, 포기찹, 1, 0, 440.0
220929, 농림가공, 곡물제조, 두부, 0, 0, 145.45454
220929, 과실류, 포도, 샤인마스캇, 1, 0, 400.0
220929, 농림가공, 곡물제조, 두부, 0, 0, 133.33333
220929, 과채류, 오이, 백다다기, 1, 0, 386.66666
220929, 버섯류, 표고버섯, 표고버섯, 1, 0, 515.0
220929, 과채류, 호박, 풋호박, 1, 0, 195.0
220929, 과실류, 블루베리, 블루베리, 0, 0, 28000.0
220929, 과실류, 파인애플, 파인애플, 0, 0, 216.66667
220929, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220929, 서류, 고구마, 밤고구마, 1, 0, 64.0
220929, 서류, 고구마, 밤고구마, 1, 0, 64.0
220929, 과실류, 사과, 기타사과, 1, 0, 236.0
220929, 과실류, 블루베리, 블루베리, 0, 0, 28000.0
220929, 과실류, 블루베리, 블루베리, 0, 0, 28000.0
220929, 농림가공, 전분 및 사료제조, 청포묵, 0, 0, 175.0
