220928, 과실류, 떫은감, 반시, 1, 0, 180.0
220928, 과실류, 떫은감, 약시, 1, 0, 220.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 415.0
220928, 과채류, 오이, 취청, 1, 0, 365.0
220928, 과실류, 자두, 추희, 1, 0, 400.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 580.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 465.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 250.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 580.0
220928, 과실류, 자두, 추희, 1, 0, 332.0
220928, 과채류, 오이, 백다다기, 1, 0, 283.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
220928, 서류, 고구마, 기타, 1, 0, 82.0
220928, 수실류, 떫은감, 반시, 1, 0, 320.0
220928, 과일과채류, 수박, 수박, 1, 0, 223.52942
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 375.0
220928, 과실류, 사과, 홍로, 1, 0, 301.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 112.5
220928, 과실류, 떫은감, 반시, 1, 0, 250.0
220928, 서류, 고구마, 밤고구마, 1, 0, 90.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 300.0
220928, 과실류, 떫은감, 약시, 1, 0, 260.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 212.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 73.39449
220928, 과실류, 단감, 차랑, 1, 0, 300.0
220928, 과실류, 단감, 송본, 1, 0, 355.0
220928, 과실류, 사과, 홍로, 1, 0, 200.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 300.0
220928, 엽경채류, 열무, 열무, 1, 0, 37.5
220928, 과실류, 사과, 홍로, 1, 0, 140.0
220928, 과실류, 떫은감, 약시, 1, 0, 140.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 110.0
220928, 과실류, 사과, 홍로, 1, 0, 285.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 155.0
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 290.0
220928, 과실류, 사과, 홍로, 1, 0, 300.0
220928, 과일과채류, 토마토, 완숙토마토, 1, 0, 300.0
220928, 과실류, 감귤, 기타감귤, 1, 0, 290.0
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 290.0
220928, 과실류, 사과, 홍로, 1, 0, 280.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 380.0
220928, 과실류, 떫은감, 반시, 1, 0, 200.0
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 295.0
220928, 과실류, 사과, 홍로, 1, 0, 241.0
220928, 과실류, 단감, 부유, 1, 0, 430.0
220928, 버섯류, 느타리버섯, 느타리버섯, 1, 0, 290.0
220928, 과실류, 사과, 홍로, 1, 0, 185.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 610.0
220928, 과실류, 포도, 마스캇베리에이, 1, 0, 300.0
220928, 조미채소류, 풋고추, 녹광, 1, 0, 180.0
220928, 조미채소류, 대파, 대파, 1, 0, 150.0
220928, 농림가공, 전분 및 사료제조, 도토리묵, 1, 0, 141.66667
220928, 버섯류, 새송이, 새송이, 1, 0, 225.0
