20220919, 과실류, 포도, 캠벨얼리, 1, 0, 366.66666
20220919, 서류, 고구마, 밤고구마, 1, 0, 195.0
20220919, 과일과채류, 메론, 네트계, 1, 0, 337.5
20220919, 서류, 고구마, 기타, 1, 0, 100.0
20220919, 서류, 고구마, 기타, 1, 0, 195.0
20220919, 서류, 고구마, 기타, 1, 0, 168.0
20220919, 서류, 고구마, 기타, 1, 0, 230.0
20220919, 서류, 고구마, 기타, 1, 0, 110.0
20220919, 서류, 고구마, 기타, 1, 0, 230.0
20220919, 서류, 고구마, 기타, 1, 0, 140.0
20220919, 서류, 고구마, 기타, 1, 0, 100.0
20220919, 과실류, 자두, 추희, 1, 0, 182.0
20220919, 과실류, 배, 신고, 1, 0, 93.333336
20220919, 과실류, 배, 신고, 1, 0, 93.333336
20220919, 과실류, 배, 신고, 1, 0, 93.333336
20220919, 수실류, 밤, 기타밤, 1, 1, 1300.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 450.0
20220919, 조미채소류, 쪽파, 깐쪽파, 1, 1, 15820.0
20220919, 수실류, 밤, 기타밤, 1, 1, 1800.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 725.0
20220919, 과채류, 오이, 가시오이, 1, 1, 1400.0
20220919, 과실류, 포도, 마스캇베리에이, 1, 1, 2833.3333
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 500.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 500.0
20220919, 과실류, 포도, 거봉, 1, 1, 4050.0
20220919, 과일과채류, 메론, 네트계, 1, 0, 325.0
20220919, 수실류, 밤, 기타밤, 1, 1, 2500.0
20220919, 엽경채류, 아욱, 아욱, 1, 1, 530.0
20220919, 과채류, 오이, 가시오이, 1, 1, 1650.0
20220919, 조미채소류, 양파, 기타양파, 1, 0, 130.0
20220919, 조미채소류, 양파, 기타양파, 1, 0, 130.0
20220919, 조미채소류, 양파, 기타양파, 1, 0, 142.5
20220919, 조미채소류, 양파, 기타양파, 1, 0, 130.0
20220919, 조미채소류, 양파, 기타양파, 1, 0, 142.5
20220919, 조미채소류, 양파, 기타양파, 1, 0, 130.0
20220919, 조미채소류, 양파, 기타양파, 1, 0, 142.5
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 320.0
20220919, 엽경채류, 배추, 월동배추, 1, 1, 4050.0
20220919, 엽경채류, 열무, 열무, 1, 1, 4050.0
20220919, 엽경채류, 열무, 열무, 1, 1, 4050.0
20220919, 엽경채류, 고추잎, 생고추잎, 1, 1, 5940.0
20220919, 엽경채류, 고추잎, 생고추잎, 1, 1, 5940.0
20220919, 엽경채류, 비름, 비름나물, 1, 1, 4590.0
20220919, 과실류, 포도, 마스캇베리에이, 1, 1, 4666.6665
20220919, 산채류, 취나물, 취나물, 1, 1, 7560.0
20220919, 엽경채류, 고들빼기, 고들빼기, 1, 1, 8640.0
20220919, 산채류, 방풍나물, 방풍나물, 1, 1, 8640.0
20220919, 엽경채류, 배추, 월동배추, 1, 1, 4050.0
20220919, 엽경채류, 열무, 열무, 1, 1, 4050.0
20220919, 엽경채류, 열무, 열무, 1, 1, 4050.0
20220919, 엽경채류, 고추잎, 생고추잎, 1, 1, 5940.0
20220919, 엽경채류, 고추잎, 생고추잎, 1, 1, 5940.0
20220919, 엽경채류, 비름, 비름나물, 1, 1, 4590.0
20220919, 과실류, 포도, 마스캇베리에이, 1, 1, 4666.6665
20220919, 엽경채류, 비름, 비름나물, 1, 1, 4590.0
20220919, 과실류, 포도, 마스캇베리에이, 1, 1, 4666.6665
20220919, 과채류, 오이, 가시오이, 1, 1, 1650.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 950.0
20220919, 과채류, 오이, 가시오이, 1, 1, 1650.0
20220919, 양채류, 로메인, 로메인, 1, 1, 6875.0
20220919, 과실류, 포도, 거봉, 1, 1, 4350.0
20220919, 과실류, 배, 신고, 1, 0, 120.0
20220919, 과실류, 배, 신고, 1, 0, 120.0
20220919, 조미채소류, 마늘, 기타마늘, 1, 0, 130.0
20220919, 엽경채류, 머위대, 생머위대, 1, 1, 12000.0
20220919, 엽경채류, 고구마순, 기타고구마순, 1, 1, 8000.0
20220919, 엽경채류, 기타, 엽경채류, 1, 1, 11000.0
20220919, 산채류, 고사리, 기타고사리, 1, 1, 19000.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 1000.0
20220919, 엽경채류, 근대, 근대, 1, 1, 3715.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 142.0
20220919, 과실류, 포도, 마스캇베리에이, 1, 1, 3000.0
20220919, 서류, 고구마, 밤고구마, 1, 0, 142.0
20220919, 조미채소류, 마늘, 기타마늘, 1, 0, 480.0
20220919, 양채류, 비타민, 비타민, 1, 1, 4240.0
20220919, 조미채소류, 마늘, 기타마늘, 1, 0, 466.66666
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 1100.0
20220919, 양채류, 케일, 쌈케일, 1, 1, 4240.0
20220919, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
20220919, 과실류, 사과, 홍로, 1, 0, 70.0
20220919, 과채류, 오이, 가시오이, 1, 1, 1820.0
20220919, 과실류, 포도, 샤인마스캇, 1, 1, 6450.0
20220919, 과실류, 사과, 홍로, 1, 0, 70.0
20220919, 과실류, 사과, 홍로, 1, 0, 70.0
20220919, 수실류, 밤, 기타밤, 1, 1, 5000.0
20220919, 과실류, 포도, 샤인마스캇, 1, 0, 400.0
20220919, 과실류, 사과, 홍로, 1, 0, 70.0
20220919, 과실류, 포도, 마스캇베리에이, 1, 1, 4000.0
20220919, 엽경채류, 청경채, 청경채, 1, 1, 2392.5
