220928, 엽경채류, 깻잎, 기타깻잎, 1, 0, 325.0
220928, 서류, 감자, 수미, 1, 0, 128.0
220928, 수실류, 대추, 기타대추, 1, 0, 500.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 180.0
220928, 과실류, 자두, 추희, 1, 0, 240.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 375.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 325.0
220928, 과실류, 단감, 송본, 1, 0, 200.0
220928, 양채류, 피망(단고추), 청피망, 1, 0, 165.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 2000.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 566.6667
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 양채류, 치커리, 치커리, 1, 0, 160.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 113.0
220928, 과채류, 오이, 백다다기, 1, 0, 348.66666
220928, 과실류, 단감, 송본, 1, 0, 230.0
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 989.0
220928, 과일과채류, 토마토, 찰토마토, 1, 0, 400.0
220928, 두류, 강낭콩, 기타강낭콩, 1, 0, 420.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 270.0
220928, 과채류, 오이, 백다다기, 1, 0, 653.3333
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 626.0
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 933.0
220928, 두류, 강낭콩, 기타강낭콩, 1, 0, 635.0
220928, 조미채소류, 쪽파, 깐쪽파, 1, 0, 933.0
220928, 과실류, 단감, 송본, 1, 0, 380.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 700.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 580.0
220928, 엽경채류, 깻잎, 깻단, 1, 0, 240.0
220928, 엽경채류, 깻잎, 깻단, 1, 0, 240.0
220928, 조미채소류, 홍고추, 홍고추, 1, 0, 812.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 1400.0
220928, 과채류, 오이, 가시오이, 1, 0, 251.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 560.0
220928, 엽경채류, 얼갈이배추, 얼갈이배추, 1, 0, 67.5
220928, 과실류, 자두, 추희, 1, 0, 420.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 560.0
220928, 두류, 강낭콩, 기타강낭콩, 1, 0, 650.0
220928, 엽경채류, 상추, 포기찹, 1, 0, 475.0
220928, 조미채소류, 풋고추, 기타풋고추, 1, 0, 27100.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 950.0
220928, 과실류, 단감, 송본, 1, 0, 190.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 440.0
220928, 엽경채류, 깻잎, 깻잎, 1, 0, 600.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 275.0
220928, 과일과채류, 참외, 참외, 1, 0, 260.0
220928, 과채류, 호박, 애호박, 1, 0, 333.33334
220928, 과채류, 호박, 쥬키니호박, 1, 0, 150.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 280.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 220.0
220928, 엽경채류, 양배추, 양배추, 1, 0, 64.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 150.0
