220928, 서류, 감자, 수미, 1, 0, 106.5
220928, 과실류, 떫은감, 약시, 1, 0, 394.0
220928, 서류, 감자, 수미, 1, 0, 106.5
220928, 과실류, 단감, 부유, 1, 0, 150.0
220928, 과실류, 단감, 상서, 1, 0, 365.0
220928, 과실류, 배, 신고, 1, 0, 167.33333
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 13500.0
220928, 과실류, 레몬, 레몬, 0, 0, 188.23529
220928, 과실류, 단감, 송본, 1, 0, 130.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 130.0
220928, 과실류, 레몬, 레몬, 0, 0, 188.23529
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 300.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 516.6667
220928, 과실류, 무화과, 무화과, 1, 0, 4700.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 516.6667
220928, 과실류, 사과, 기타사과, 1, 0, 170.0
220928, 조미채소류, 대파, 대파, 1, 0, 167.5
220928, 과실류, 레몬, 레몬, 0, 0, 188.23529
220928, 과실류, 포도, 캠벨얼리, 1, 0, 300.0
220928, 과채류, 호박, 쥬키니호박, 1, 0, 110.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 460.0
220928, 수실류, 떫은감, 연시, 1, 0, 242.0
220928, 엽경채류, 콩나물, 콩나물, 0, 0, 80.0
220928, 과실류, 단감, 서촌, 1, 0, 210.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 233.33333
220928, 과실류, 사과, 시나노스위트, 1, 0, 330.0
220928, 수실류, 떫은감, 반시, 1, 0, 340.0
220928, 엽경채류, 콩나물, 콩나물, 0, 0, 80.0
220928, 과실류, 무화과, 무화과, 1, 0, 4600.0
220928, 조미채소류, 대파, 대파, 1, 0, 240.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 500.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 320.0
220928, 과실류, 무화과, 무화과, 1, 0, 700.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 300.0
220928, 과채류, 호박, 애호박, 1, 0, 250.0
220928, 과실류, 포도, 기타포도, 1, 0, 625.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 200.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 14000.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 160.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 500.0
220928, 근채류, 토란, 토란, 1, 0, 300.0
220928, 과실류, 사과, 홍옥, 1, 0, 388.0
220928, 엽경채류, 아욱, 아욱, 1, 0, 240.0
220928, 과실류, 단감, 송본, 1, 0, 300.0
220928, 조미채소류, 꽈리고추, 꽈리고추, 1, 0, 500.0
220928, 엽경채류, 배추, 쌈배추, 1, 0, 220.0
220928, 수실류, 대추, 기타대추, 1, 0, 650.0
220928, 엽경채류, 콩나물, 콩나물, 0, 0, 80.0
220928, 양채류, 피망(단고추), 청피망, 1, 0, 239.0
220928, 과실류, 사과, 홍로, 1, 0, 258.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 242.0
220928, 과실류, 단감, 송본, 1, 0, 400.0
220928, 과실류, 포도, 거봉, 1, 0, 700.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 712.5
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 260.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 433.33334
220928, 엽경채류, 상추, 기타상추, 1, 0, 290.0
220928, 근채류, 당근, 기타당근, 1, 0, 250.0
220928, 과실류, 자두, 추희, 1, 0, 360.0
220928, 조미채소류, 풋고추, 청양, 1, 0, 426.0
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 733.3333
220928, 과실류, 사과, 시나노스위트, 1, 0, 320.0
220928, 과실류, 단감, 송본, 1, 0, 180.0
220928, 과실류, 단감, 서촌, 1, 0, 230.0
220928, 과실류, 떫은감, 기타떫은감, 1, 0, 160.0
220928, 양채류, 파프리카, 노랑파프리카, 1, 0, 640.0
220928, 과일과채류, 메론, 네트계, 1, 0, 225.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 262.5
220928, 과채류, 오이, 백다다기, 1, 0, 100.0
220928, 수실류, 대추, 기타대추, 1, 0, 650.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 400.0
220928, 과실류, 감귤, 하우스감귤, 1, 0, 320.0
220928, 서류, 고구마, 기타, 1, 0, 150.0
220928, 수실류, 대추, 생대추, 1, 0, 700.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 182.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 233.33333
220928, 서류, 고구마, 기타, 1, 0, 189.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 450.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 950.0
220928, 서류, 고구마, 밤고구마, 1, 0, 62.0
220928, 과실류, 포도, 캠벨얼리, 1, 0, 220.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 600.0
220928, 농림가공, 곡물제조, 두부, 0, 0, 171.42857
220928, 과일과채류, 방울토마토, 대추방울, 1, 0, 250.0
220928, 근채류, 토란, 토란, 1, 0, 248.0
220928, 버섯류, 표고버섯, 기타표고버섯, 1, 0, 525.0
220928, 농림가공, 곡물제조, 두부, 0, 0, 162.5
220928, 과일과채류, 토마토, 토마토, 1, 0, 220.0
220928, 근채류, 당근, 당근, 1, 0, 51.5
220928, 과실류, 포도, 캠벨얼리, 1, 0, 340.0
220928, 과실류, 단감, 송본, 1, 0, 355.0
220928, 농림가공, 곡물제조, 순두부, 0, 0, 350.0
220928, 수실류, 대추, 대추, 1, 0, 550.0
220928, 엽경채류, 상추, 적상추, 1, 0, 275.0
220928, 과채류, 오이, 백다다기, 1, 0, 143.0
220928, 과채류, 호박, 늙은호박, 1, 0, 56.25
220928, 농림가공, 곡물제조, 두부, 0, 0, 145.45454
220928, 서류, 고구마, 호박고구마, 1, 0, 125.0
220928, 과채류, 오이, 백다다기, 1, 0, 160.0
220928, 과실류, 복숭아, 황도, 1, 0, 415.0
220928, 농림가공, 곡물제조, 두부, 0, 0, 150.0
220928, 과채류, 오이, 백다다기, 1, 0, 241.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 510.0
220928, 과채류, 오이, 백다다기, 1, 0, 180.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 과채류, 오이, 백다다기, 1, 0, 290.66666
220928, 양채류, 양상추, 샤니레타스, 1, 0, 94.666664
220928, 과실류, 무화과, 무화과, 1, 0, 5100.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 700.0
220928, 과채류, 호박, 애호박, 1, 0, 125.0
220928, 조미채소류, 쪽파, 쪽파, 1, 0, 970.0
220928, 과실류, 포도, 거봉, 1, 0, 375.0
220928, 수실류, 떫은감, 약시, 1, 0, 280.0
220928, 수실류, 떫은감, 약시, 1, 0, 260.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 510.0
220928, 과채류, 호박, 늙은호박, 1, 0, 33.333332
220928, 과실류, 떫은감, 약시, 1, 0, 220.0
220928, 과실류, 사과, 홍로, 1, 0, 323.0
220928, 과실류, 단감, 기타단감, 1, 0, 230.0
220928, 수실류, 떫은감, 반시, 1, 0, 260.0
220928, 수실류, 떫은감, 약시, 1, 0, 320.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 480.0
220928, 과실류, 사과, 기타사과, 1, 0, 240.0
220928, 과실류, 사과, 홍로, 1, 0, 180.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 660.0
220928, 과실류, 사과, 시나노스위트, 1, 0, 270.0
220928, 과일과채류, 방울토마토, 방울토마토, 1, 0, 660.0
220928, 과실류, 사과, 홍로, 1, 0, 180.0
220928, 엽경채류, 상추, 꽃적상추, 1, 0, 140.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 550.0
220928, 과실류, 감귤, 극조생감귤, 1, 0, 164.0
220928, 과실류, 사과, 양광, 1, 0, 120.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 650.0
220928, 과실류, 사과, 히로사끼, 1, 0, 165.0
220928, 서류, 고구마, 기타, 1, 0, 140.0
220928, 과일과채류, 메론, 네트계, 1, 0, 400.0
220928, 과실류, 사과, 시나노레드, 1, 0, 200.0
220928, 과실류, 배, 신고, 1, 0, 179.33333
220928, 과실류, 단감, 부유, 1, 0, 210.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 800.0
220928, 과실류, 사과, 홍로, 1, 0, 140.0
220928, 서류, 고구마, 밤고구마, 1, 0, 70.0
220928, 과실류, 레몬, 레몬, 0, 0, 188.23529
220928, 서류, 감자, 수미, 1, 0, 136.5
220928, 과실류, 레몬, 레몬, 0, 0, 188.23529
220928, 과실류, 레몬, 레몬, 0, 0, 188.23529
220928, 서류, 감자, 수미, 1, 0, 136.5
220928, 과실류, 레몬, 레몬, 0, 0, 188.23529
220928, 과실류, 레몬, 레몬, 0, 0, 188.23529
220928, 과일과채류, 메론, 얼스계, 1, 0, 138.75
220928, 근채류, 연근, 기타연근, 1, 0, 130.0
220928, 과실류, 포도, 기타포도, 1, 0, 675.0
220928, 수실류, 대추, 건대추, 1, 0, 104.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 14000.0
220928, 조미채소류, 양파, 양파, 1, 0, 25.0
220928, 과실류, 레몬, 레몬, 0, 0, 188.23529
220928, 과채류, 오이, 백다다기, 1, 0, 345.0
220928, 과실류, 사과, 홍로, 1, 0, 215.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 642.5
220928, 과채류, 오이, 가시오이, 1, 0, 210.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 500.0
220928, 과실류, 사과, 홍로, 1, 0, 255.0
220928, 수실류, 대추, 대추, 1, 0, 150.0
220928, 과실류, 복숭아, 황도, 1, 0, 475.0
220928, 과일과채류, 토마토, 토마토, 1, 0, 180.0
220928, 과실류, 바나나, 바나나, 0, 0, 200.0
220928, 과채류, 가지, 가지, 1, 0, 210.0
220928, 과실류, 사과, 기타사과, 1, 0, 250.0
220928, 양채류, 피망(단고추), 청피망, 1, 0, 185.0
220928, 과실류, 사과, 기타사과, 1, 0, 210.0
220928, 양채류, 파프리카, 파프리카, 1, 0, 720.0
220928, 엽경채류, 깻잎, 깻잎순, 1, 0, 666.6667
220928, 엽경채류, 시금치, 시금치, 1, 0, 450.0
220928, 버섯류, 표고버섯, 표고버섯, 1, 0, 975.0
220928, 과채류, 호박, 애호박, 1, 0, 125.0
220928, 조미채소류, 풋고추, 오이맛고추, 1, 0, 385.0
220928, 과실류, 복숭아, 기타복숭아, 1, 0, 200.0
220928, 서류, 감자, 기타감자, 1, 0, 170.0
220928, 농림가공, 곡물제조, 두부, 0, 0, 133.33333
220928, 서류, 고구마, 호박고구마, 1, 0, 125.0
220928, 과채류, 오이, 취청, 1, 0, 215.0
220928, 과실류, 단감, 상서, 1, 0, 180.0
220928, 과실류, 포도, 샤인마스캇, 1, 0, 712.5
220928, 과일과채류, 메론, 네트계, 1, 0, 262.5
220928, 농림가공, 곡물제조, 두부, 0, 0, 145.45454
220928, 엽경채류, 배추, 쌈배추, 1, 0, 210.0
220928, 과실류, 단감, 부유, 1, 0, 335.0
220928, 과실류, 자두, 추희, 1, 0, 360.0
220928, 과실류, 복숭아, 황도, 1, 0, 100.0
